"age"	"qx"	"lx"
0	0.00384	100,000
1	0.00033	99,616
2	0.00021	99,583
3	0.00017	99,562
4	0.00014	99,545
5	0.00012	99,531
6	0.00011	99,519
7	0.00010	99,508
8	0.00010	99,498
9	0.00010	99,488
10	0.00011	99,478
11	0.00011	99,467
12	0.00012	99,456
13	0.00013	99,444
14	0.00016	99,431
15	0.00020	99,415
16	0.00024	99,395
17	0.00029	99,371
18	0.00033	99,342
19	0.00035	99,309
20	0.00035	99,274
21	0.00034	99,239
22	0.00034	99,205
23	0.00034	99,171
24	0.00034	99,137
25	0.00035	99,103
26	0.00035	99,068
27	0.00036	99,033
28	0.00037	98,997
29	0.00039	98,960
30	0.00042	98,921
31	0.00047	98,879
32	0.00052	98,833
33	0.00058	98,782
34	0.00064	98,725
35	0.00070	98,662
36	0.00076	98,593
37	0.00084	98,518
38	0.00093	98,435
39	0.00103	98,343
40	0.00114	98,242
41	0.00125	98,130
42	0.00138	98,007
43	0.00151	97,872
44	0.00165	97,724
45	0.00180	97,563
46	0.00195	97,387
47	0.00210	97,197
48	0.00224	96,993
49	0.00238	96,776
50	0.00251	96,546
51	0.00265	96,304
52	0.00282	96,049
53	0.00302	95,778
54	0.00324	95,489
55	0.00346	95,180
56	0.00369	94,851
57	0.00392	94,501
58	0.00414	94,131
59	0.00440	93,741
60	0.00468	93,329
61	0.00503	92,892
62	0.00543	92,425
63	0.00589	91,923
64	0.00640	91,382
65	0.00697	90,797
66	0.00763	90,164
67	0.00838	89,476
68	0.00923	88,726
69	0.01020	87,907
70	0.01133	87,010
71	0.01259	86,024
72	0.01401	84,941
73	0.01563	83,751
74	0.01752	82,442
75	0.01970	80,998
76	0.02228	79,402
77	0.02527	77,633
78	0.02874	75,671
79	0.03276	73,496
80	0.03749	71,088
81	0.04304	68,423
82	0.04956	65,478
83	0.05709	62,233
84	0.06564	58,680
85	0.07518	54,828
86	0.08567	50,706
87	0.09693	46,362
88	0.10865	41,868
89	0.12053	37,319
90	0.13260	32,821
91	0.14546	28,469
92	0.15965	24,328
93	0.17531	20,444
94	0.19229	16,860
95	0.21060	13,618
96	0.23005	10,750
97	0.25045	8,277
98	0.27208	6,204
99	0.29473	4,516
100	0.31837	3,185
101	0.34316	2,171
102	0.36886	1,426
103	0.39556	900
104	0.42279	544
105	0.45223	314
106	0.48256	172
107	0.50562	89
108	0.54545	44
109	0.55000	20
110	0.55556	9
111	0.75000	4
112	1.00000	1
