"age"	"qx"	"lx"
0	0.00489	100,000
1	0.00038	99,511
2	0.00027	99,473
3	0.00022	99,446
4	0.00018	99,424
5	0.00016	99,406
6	0.00014	99,390
7	0.00013	99,376
8	0.00013	99,363
9	0.00012	99,350
10	0.00013	99,338
11	0.00013	99,325
12	0.00016	99,312
13	0.00020	99,296
14	0.00026	99,276
15	0.00037	99,250
16	0.00050	99,213
17	0.00067	99,163
18	0.00083	99,097
19	0.00095	99,015
20	0.00102	98,921
21	0.00105	98,820
22	0.00105	98,716
23	0.00104	98,612
24	0.00105	98,509
25	0.00105	98,406
26	0.00107	98,303
27	0.00109	98,198
28	0.00111	98,091
29	0.00114	97,982
30	0.00116	97,870
31	0.00120	97,756
32	0.00125	97,639
33	0.00132	97,517
34	0.00143	97,388
35	0.00153	97,249
36	0.00166	97,100
37	0.00179	96,939
38	0.00195	96,765
39	0.00214	96,576
40	0.00237	96,369
41	0.00264	96,141
42	0.00293	95,887
43	0.00325	95,606
44	0.00360	95,295
45	0.00397	94,952
46	0.00435	94,575
47	0.00472	94,164
48	0.00508	93,720
49	0.00545	93,244
50	0.00582	92,736
51	0.00624	92,196
52	0.00668	91,621
53	0.00715	91,009
54	0.00767	90,358
55	0.00821	89,665
56	0.00875	88,929
57	0.00932	88,151
58	0.00995	87,329
59	0.01066	86,460
60	0.01146	85,538
61	0.01235	84,558
62	0.01335	83,514
63	0.01448	82,399
64	0.01576	81,206
65	0.01719	79,926
66	0.01876	78,552
67	0.02046	77,078
68	0.02232	75,501
69	0.02434	73,816
70	0.02658	72,019
71	0.02903	70,105
72	0.03167	68,070
73	0.03455	65,914
74	0.03768	63,637
75	0.04117	61,239
76	0.04506	58,718
77	0.04938	56,072
78	0.05426	53,303
79	0.05993	50,411
80	0.06660	47,390
81	0.07433	44,234
82	0.08304	40,946
83	0.09253	37,546
84	0.10264	34,072
85	0.11352	30,575
86	0.12533	27,104
87	0.13802	23,707
88	0.15155	20,435
89	0.16576	17,338
90	0.18059	14,464
91	0.19625	11,852
92	0.21289	9,526
93	0.23059	7,498
94	0.24926	5,769
95	0.26899	4,331
96	0.28964	3,166
97	0.31125	2,249
98	0.33376	1,549
99	0.35756	1,032
100	0.38160	663
101	0.40488	410
102	0.43033	244
103	0.46043	139
104	0.48000	75
105	0.51282	39
106	0.52632	19
107	0.55556	9
108	0.50000	4
109	0.50000	2
110	1.00000	1
111	NA	NA
112	NA	NA
